,area,begin-area,country,disambiguation,end-area,gender,id,ipi,ipi-list,isni-list,life-span,name,sort-name,type
0,"{'sort-name': 'United States', 'id': '489ce91b-6658-3307-9877-795b68554c98', 'name': 'United States', 'iso-3166-1-code-list': ['US']}","{'sort-name': 'Brooklyn', 'id': 'a71b0d32-7752-49e9-8594-2247ad6ac12c', 'name': 'Brooklyn'}",US,,,,03098741-08b3-4dd7-b3f6-1b0bfa2c879c,,,['0000000107254546'],{'begin': '2000'},Liars,Liars,Group
1,"{'sort-name': 'United States', 'id': '489ce91b-6658-3307-9877-795b68554c98', 'name': 'United States', 'iso-3166-1-code-list': ['US']}",,US,,,,69c4cc43-8163-41c5-ac81-30946d27bb69,,,,{'begin': '2000-03'},CunninLynguists,CunninLynguists,Group
2,,,,,,,7a2e6b55-f149-4e74-be6a-30a1b1a387bb,,,,{'begin': '1997-08'},The Desert Sessions,"Desert Sessions, The",Group
3,"{'sort-name': 'Canada', 'id': '71bbafaa-e825-3e15-8ca9-017dcad1748b', 'name': 'Canada', 'iso-3166-1-code-list': ['CA']}","{'sort-name': 'Toronto', 'id': '74b24e62-d2fe-42d2-9d96-31f2da756c77', 'name': 'Toronto'}",CA,pianist,"{'sort-name': 'Toronto', 'id': '74b24e62-d2fe-42d2-9d96-31f2da756c77', 'name': 'Toronto'}",Male,7002bf88-1269-4965-a772-4ba1e7a91eaa,,,['0000000110269386'],"{'ended': 'true', 'begin': '1932-09-25', 'end': '1982-10-04'}",Glenn Gould,"Gould, Glenn",Person
4,"{'sort-name': 'United States', 'id': '489ce91b-6658-3307-9877-795b68554c98', 'name': 'United States', 'iso-3166-1-code-list': ['US']}","{'sort-name': 'Philadelphia', 'id': '0eeb01c2-6e31-46ad-96b8-319749f731d2', 'name': 'Philadelphia'}",US,,,,dbf7c761-e332-467b-b4d9-aafe06bbcf8f,,,['000000009078593X'],{'begin': '1992'},G. Love & Special Sauce,G. Love & Special Sauce,Group
5,"{'sort-name': 'Ireland', 'id': '390b05d4-11ec-3bce-a343-703a366b34a5', 'name': 'Ireland', 'iso-3166-1-code-list': ['IE']}","{'sort-name': 'Dublin', 'id': '462e7952-4fa9-43cd-bc24-2c5c9cd5dd47', 'name': 'Dublin'}",IE,Irish rock band,,,a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432,,,['0000000121505903'],{'begin': '1976'},U2,U2,Group
6,"{'sort-name': 'Colombia', 'id': '02b60d8d-7164-339d-868d-22d147d9f74a', 'name': 'Colombia', 'iso-3166-1-code-list': ['CO']}","{'sort-name': 'Medell\xc3\xadn', 'id': '9d093595-9e75-44f7-8900-3bfaa6da8e3c', 'name': 'Medell\xc3\xadn'}",CO,,,Male,8b0f05ce-354e-4121-9e0b-8b4732ea844f,,,,{'begin': '1972-08-09'},Juanes,Juanes,Person
7,"{'sort-name': 'Austria', 'id': 'caac77d1-a5c8-3e6e-8e27-90b44dcc1446', 'name': 'Austria', 'iso-3166-1-code-list': ['AT']}","{'sort-name': 'Wien', 'iso-3166-2-code-list': ['AT-9'], 'id': 'afff1a94-a98b-4322-8874-3148139ab6da', 'name': 'Wien'}",AT,,,,8363f94f-fd86-41b8-a56b-26eacb34f499,,,,{'begin': '1993'},Summoning,Summoning,Group
8,"{'sort-name': 'Beverly Hills', 'id': '73d8cbdd-3149-4cb6-a36d-1ef2036a8b88', 'name': 'Beverly Hills'}","{'sort-name': 'Fullerton', 'id': '30075929-e086-4ca7-868c-316ae92f522d', 'name': 'Fullerton'}",,,,Female,2e41ae9c-afd2-4f20-8f1e-17281ce9b472,00334155877,['00334155877'],['0000000063105556'],{'begin': '1969-10-03'},Gwen Stefani,"Stefani, Gwen",Person
9,"{'sort-name': 'Los Angeles', 'id': '1f40c6e1-47ba-4e35-996f-fe6ee5840e62', 'name': 'Los Angeles'}","{'sort-name': 'Los Angeles', 'id': '1f40c6e1-47ba-4e35-996f-fe6ee5840e62', 'name': 'Los Angeles'}",,,,,c17f08f4-2542-46fb-97f3-3202d60c225a,,,,{'begin': '1990-10-31'},Fear Factory,Fear Factory,Group
